,Party Affiliation,week,anxiety,new_cases
262,Heavily Red,2021-01-11/2021-01-17,7.691714285714285,1380273
263,Moderate,2021-01-11/2021-01-17,7.565892857142857,1380273
264,Red,2021-01-11/2021-01-17,7.503846153846154,1380273
265,Blue,2021-01-18/2021-01-24,7.5419780219780215,1129579
266,Heavily Blue,2021-01-18/2021-01-24,8.05469387755102,1129579
267,Heavily Red,2021-01-18/2021-01-24,7.805285714285715,1129579
268,Moderate,2021-01-18/2021-01-24,7.574642857142857,1129579
269,Red,2021-01-18/2021-01-24,7.6182417582417585,1129579
270,Blue,2021-01-25/2021-01-31,7.7239560439560435,918356
271,Heavily Blue,2021-01-25/2021-01-31,8.299795918367346,918356
272,Heavily Red,2021-01-25/2021-01-31,8.066142857142857,918356
273,Moderate,2021-01-25/2021-01-31,7.818214285714285,918356
274,Red,2021-01-25/2021-01-31,7.844835164835165,918356
275,Blue,2021-02-01/2021-02-07,7.722967032967032,738798
276,Heavily Blue,2021-02-01/2021-02-07,8.381020408163266,738798
277,Heavily Red,2021-02-01/2021-02-07,8.09142857142857,738798
278,Moderate,2021-02-01/2021-02-07,7.807857142857143,738798
279,Red,2021-02-01/2021-02-07,7.814285714285715,738798
280,Blue,2021-02-08/2021-02-14,7.638131868131869,542647
281,Heavily Blue,2021-02-08/2021-02-14,8.368163265306123,542647
282,Heavily Red,2021-02-08/2021-02-14,7.839999999999999,542647
283,Moderate,2021-02-08/2021-02-14,7.831428571428572,542647
284,Red,2021-02-08/2021-02-14,7.633846153846154,542647
285,Blue,2021-02-15/2021-02-21,7.82065934065934,467710
286,Heavily Blue,2021-02-15/2021-02-21,8.514285714285714,467710
287,Heavily Red,2021-02-15/2021-02-21,7.900714285714285,467710
288,Moderate,2021-02-15/2021-02-21,7.949107142857143,467710
289,Red,2021-02-15/2021-02-21,7.60945054945055,467710
290,Blue,2021-02-22/2021-02-28,7.996043956043956,447114
291,Heavily Blue,2021-02-22/2021-02-28,8.661836734693878,447114
292,Heavily Red,2021-02-22/2021-02-28,8.193,447114
293,Moderate,2021-02-22/2021-02-28,7.964821428571428,447114
294,Red,2021-02-22/2021-02-28,7.994065934065935,447114
295,Blue,2021-03-01/2021-03-07,8.397912087912088,392018
296,Heavily Blue,2021-03-01/2021-03-07,9.176938775510205,392018
297,Heavily Red,2021-03-01/2021-03-07,8.561857142857143,392018
298,Moderate,2021-03-01/2021-03-07,8.440178571428572,392018
299,Red,2021-03-01/2021-03-07,8.276483516483516,392018
300,Blue,2021-03-08/2021-03-14,8.065164835164834,376555
301,Heavily Blue,2021-03-08/2021-03-14,8.841020408163265,376555
302,Heavily Red,2021-03-08/2021-03-14,8.186571428571428,376555
303,Moderate,2021-03-08/2021-03-14,8.155892857142858,376555
304,Red,2021-03-08/2021-03-14,8.089450549450548,376555
305,Blue,2021-03-15/2021-03-21,7.9412087912087905,404560
306,Heavily Blue,2021-03-15/2021-03-21,8.618775510204081,404560
307,Heavily Red,2021-03-15/2021-03-21,7.995857142857143,404560
308,Moderate,2021-03-15/2021-03-21,7.960714285714286,404560
309,Red,2021-03-15/2021-03-21,7.854395604395604,404560
310,Blue,2021-03-22/2021-03-28,8.186703296703296,448194
311,Heavily Blue,2021-03-22/2021-03-28,8.947551020408163,448194
312,Heavily Red,2021-03-22/2021-03-28,8.368428571428572,448194
313,Moderate,2021-03-22/2021-03-28,8.315357142857144,448194
314,Red,2021-03-22/2021-03-28,8.323956043956045,448194
315,Blue,2021-03-29/2021-04-04,8.35032967032967,457931
316,Heavily Blue,2021-03-29/2021-04-04,9.30326530612245,457931
317,Heavily Red,2021-03-29/2021-04-04,8.513,457931
318,Moderate,2021-03-29/2021-04-04,8.505178571428571,457931
319,Red,2021-03-29/2021-04-04,8.418901098901099,457931
320,Blue,2021-04-05/2021-04-11,7.672417582417583,493179
321,Heavily Blue,2021-04-05/2021-04-11,8.513061224489796,493179
322,Heavily Red,2021-04-05/2021-04-11,7.865285714285715,493179
323,Moderate,2021-04-05/2021-04-11,7.789642857142858,493179
324,Red,2021-04-05/2021-04-11,7.733736263736263,493179
325,Blue,2021-04-12/2021-04-18,7.606483516483517,450936
326,Heavily Blue,2021-04-12/2021-04-18,8.408571428571427,450936
327,Heavily Red,2021-04-12/2021-04-18,7.873857142857142,450936
328,Moderate,2021-04-12/2021-04-18,7.803214285714286,450936
329,Red,2021-04-12/2021-04-18,7.736483516483516,450936
330,Blue,2021-04-19/2021-04-25,7.916813186813187,371545
331,Heavily Blue,2021-04-19/2021-04-25,8.750612244897958,371545
332,Heavily Red,2021-04-19/2021-04-25,8.151000000000002,371545
333,Moderate,2021-04-19/2021-04-25,8.076071428571428,371545
334,Red,2021-04-19/2021-04-25,8.00923076923077,371545
335,Blue,2021-04-26/2021-05-02,7.614285714285714,334866
336,Heavily Blue,2021-04-26/2021-05-02,8.514693877551021,334866
337,Heavily Red,2021-04-26/2021-05-02,7.741285714285714,334866
338,Moderate,2021-04-26/2021-05-02,7.649285714285715,334866
339,Red,2021-04-26/2021-05-02,7.563406593406593,334866
340,Blue,2021-05-03/2021-05-09,7.6401098901098905,261590
341,Heavily Blue,2021-05-03/2021-05-09,8.561020408163266,261590
342,Heavily Red,2021-05-03/2021-05-09,7.615857142857143,261590
343,Moderate,2021-05-03/2021-05-09,7.6501785714285715,261590
344,Red,2021-05-03/2021-05-09,7.486923076923078,261590
345,Blue,2021-05-10/2021-05-16,7.6521978021978025,212024
346,Heavily Blue,2021-05-10/2021-05-16,8.53795918367347,212024
347,Heavily Red,2021-05-10/2021-05-16,7.698428571428571,212024
348,Moderate,2021-05-10/2021-05-16,7.8125,212024
349,Red,2021-05-10/2021-05-16,7.616483516483517,212024
350,Blue,2021-05-17/2021-05-23,7.5213186813186805,164435
351,Heavily Blue,2021-05-17/2021-05-23,8.291224489795917,164435
352,Heavily Red,2021-05-17/2021-05-23,7.650714285714285,164435
353,Moderate,2021-05-17/2021-05-23,7.757142857142857,164435
354,Red,2021-05-17/2021-05-23,7.606043956043956,164435
355,Blue,2021-05-24/2021-05-30,7.303736263736264,120378
356,Heavily Blue,2021-05-24/2021-05-30,8.017142857142856,120378
357,Heavily Red,2021-05-24/2021-05-30,7.341142857142857,120378
358,Moderate,2021-05-24/2021-05-30,7.421964285714286,120378
359,Red,2021-05-24/2021-05-30,7.248461538461538,120378
360,Blue,2021-05-31/2021-06-06,7.26021978021978,101526
361,Heavily Blue,2021-05-31/2021-06-06,7.946326530612245,101526
362,Heavily Red,2021-05-31/2021-06-06,7.319999999999999,101526
363,Moderate,2021-05-31/2021-06-06,7.422142857142857,101526
364,Red,2021-05-31/2021-06-06,7.241538461538462,101526
365,Blue,2021-06-07/2021-06-13,7.160439560439561,89034
366,Heavily Blue,2021-06-07/2021-06-13,7.81938775510204,89034
367,Heavily Red,2021-06-07/2021-06-13,7.3914285714285715,89034
368,Moderate,2021-06-07/2021-06-13,7.403035714285714,89034
369,Red,2021-06-07/2021-06-13,7.255824175824175,89034
370,Blue,2021-06-14/2021-06-20,6.956483516483516,84583
371,Heavily Blue,2021-06-14/2021-06-20,7.599387755102041,84583
372,Heavily Red,2021-06-14/2021-06-20,7.2658571428571435,84583
373,Moderate,2021-06-14/2021-06-20,7.233214285714285,84583
374,Red,2021-06-14/2021-06-20,7.068241758241759,84583
375,Blue,2021-06-21/2021-06-27,6.859120879120878,98114
376,Heavily Blue,2021-06-21/2021-06-27,7.570204081632653,98114
377,Heavily Red,2021-06-21/2021-06-27,7.283571428571429,98114
378,Moderate,2021-06-21/2021-06-27,7.253035714285715,98114
379,Red,2021-06-21/2021-06-27,7.163626373626373,98114
380,Blue,2021-06-28/2021-07-04,6.683406593406594,133430
381,Heavily Blue,2021-06-28/2021-07-04,7.363061224489797,133430
382,Heavily Red,2021-06-28/2021-07-04,7.077999999999999,133430
383,Moderate,2021-06-28/2021-07-04,7.06125,133430
384,Red,2021-06-28/2021-07-04,6.980329670329671,133430
385,Blue,2021-07-05/2021-07-11,7.005714285714285,251109
386,Heavily Blue,2021-07-05/2021-07-11,7.740816326530613,251109
387,Heavily Red,2021-07-05/2021-07-11,7.362,251109
388,Moderate,2021-07-05/2021-07-11,7.2751785714285715,251109
389,Red,2021-07-05/2021-07-11,7.187582417582418,251109
390,Blue,2021-07-12/2021-07-18,7.216813186813187,288157
391,Heavily Blue,2021-07-12/2021-07-18,7.85530612244898,288157
392,Heavily Red,2021-07-12/2021-07-18,7.519000000000001,288157
393,Moderate,2021-07-12/2021-07-18,7.492678571428571,288157
394,Red,2021-07-12/2021-07-18,7.3574725274725274,288157
395,Blue,2021-07-19/2021-07-25,6.996703296703298,464744
396,Heavily Blue,2021-07-19/2021-07-25,7.61469387755102,464744
397,Heavily Red,2021-07-19/2021-07-25,7.341,464744
398,Moderate,2021-07-19/2021-07-25,7.267142857142857,464744
399,Red,2021-07-19/2021-07-25,7.177912087912088,464744
400,Blue,2021-07-26/2021-08-01,7.037032967032967,678272
401,Heavily Blue,2021-07-26/2021-08-01,7.751020408163265,678272
402,Heavily Red,2021-07-26/2021-08-01,7.304142857142858,678272
403,Moderate,2021-07-26/2021-08-01,7.286071428571428,678272
404,Red,2021-07-26/2021-08-01,7.163076923076924,678272
405,Blue,2021-08-02/2021-08-08,7.029450549450549,850255
406,Heavily Blue,2021-08-02/2021-08-08,7.689387755102041,850255
